German,English
ich,I
sie,she
das,the
ist,is
du,you
nicht,not
es,it
und,and
wir,we
was,What
ein,a
ja,Yes
mir,to me
mit,with
wie,How
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,has
hier,here
sind,are
war,was
von,from
wenn,if
nein,no
habe,have
an,at
bin,am
noch,still
nur,only
da,there
sich,itself
einen,a
uns,us
hast,have
dem,to the
kann,can
gut,good
auch,also
schon,already
als,as
sein,be
jetzt,now
ihn,him
dann,then
aus,out of
meine,think
um,around
im,in the
wird,becomes
mein,my
doch,but
alles,everything
weiß,white
keine,no
oder,or
man,man
muss,must
will,want
geht,goes
wo,where
etwas,something
oh,Oh
mehr,more
bei,at
also,so
bitte,please
immer,always
hab,have
warum,Why
vor,before
los,Come on
können,can
wieder,again
machen,make
danke,Thanks
sehr,very
alle,all
denn,then
mann,man
tun,do
ihm,him
zum,for the
sehen,see
vielleicht,perhaps
einem,a
wer,who
diese,this
euch,you
einer,one
komm,come
über,above
gibt,gives
wissen,knowledge
deine,your
müssen,must
soll,should
werde,become
nie,never
wirklich,really
hey,hey
kein,no
viel,much
weg,away
würde,would
tut,does
am,at the
des,of
einfach,simply
leben,life
hatte,had
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
ganz,quite
wäre,were
wollte,wanted
weiss,white
ok,OK
frau,woman
bis,until
wurde,became
leid,sorrow
na,n / A
kannst,can
macht,might
dieser,this
zurück,return
lassen,permit
meinen,think
gott,God
seine,his
h�tte,had
zwei,two
könnte,could
genau,Exactly
waren,were
lass,let
klar,clear
morgen,morning
leute,people
vater,father
schön,nice
ab,away
gerade,straight
tag,Day
reden,talk
wohl,probably
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,if
keinen,no
mutter,mother
raus,out
gemacht,made
paar,pair
passiert,happens
besser,better
musst,must
wieso,how come
sir,sir
dieses,this
selbst,self
gehört,heard
möchte,would like
ohne,without
hör,listening
her,from
sag,say
meiner,mine
anderen,others
helfen,help
nacht,night
diesen,this
wirst,become
lange,longing
natürlich,naturally
ach,Oh
gar,even
ins,into the
sei,may be
dort,there
weiter,further
geben,give
gleich,even
sagt,says
recht,right
ihren,your
richtig,correct
ordnung,order
vom,from the
hören,hear
sieht,sees
dafür,for this
geh,walk
diesem,this
hause,home
sollten,should
mädchen,girl
hin,there
sollen,should
abend,evening
denke,think
viele,many
drei,three
deinen,yours
freund,friend
guten,good
unser,our
warte,wait
machst,do
essen,eat
angst,fear
bleiben,remain
zusammen,together
welt,world
unter,under
habt,have
schnell,fast
andere,other
tot,dead
stimmt,is correct
nehmen,take
kinder,children
eines,one
glauben,believe
bringen,bring
ganze,entire
genug,enough
scheiße,Fuck
brauchen,need
gegen,against
moment,moment
junge,young
sonst,otherwise
musik,music
arbeit,work
seid,are
ihrer,of their
fragen,questions
herr,Mr
